id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
40,com.blackview.dashcam.vietmap,VIETMAP REC,VIETMAP,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.blackview.dashcam.vietmap,https://docs.google.com/document/u/1/d/e/2PACX-1vRSjFnrkWBOVkYhHIfvlnZ4b9DMIMcaugYROdgL6ddVnzKmifiANgYtgjQ1uJRPPMQpSxlUrYS6dGDc/pub,1
41,com.migenteapp.migenteandroid,Mi Gente - Latino Dating,Mi Gente Tech,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.migenteapp.migenteandroid,https://migenteapp.com/privacy-policy/,1
42,com.psma.mosaicphotoeffects,Mosaic Photo Effects,photoshop mobile apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.psma.mosaicphotoeffects,https://photoshopmobileapps.wordpress.com/,1
43,com.aiTeam.EffectArtName,Name Art: Effect Smoke NameArt,Devabits Inc,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.aiTeam.EffectArtName,https://sites.google.com/view/aiteam/privacy-policy,1
44,com.BestofallPhotography.DeleteRedEyesApp.RemoveRedEyesFromPhoto,Remove Red Eyes From Photo,1B Studio Ltd,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.BestofallPhotography.DeleteRedEyesApp.RemoveRedEyesFromPhoto,https://1bestofall.com/applications-privacy-policy/,1
45,com.catch.fwbhookupapp,"Hook up, Dating, Meetup, Catch",Catch Personals Limited,Social,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.catch.fwbhookupapp,https://www.catchpersonals.com/privacy.html,1
46,com.EasyPhotoEditorTechfazilka.easyphotoeditor,Easy Photo-Editor,Vikas Jallundhra,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.EasyPhotoEditorTechfazilka.easyphotoeditor,https://pages.flycricket.io/easy-photo-editor/privacy.html,1
47,com.socialnetworking.bbwmapp,Match BBW & Curvy Single :BBWM,BBWM Dating APP,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.socialnetworking.bbwmapp,https://bbwmapp.com/bbwm/privacy_policy.html,1
48,com.Couple.Photo.Suit.Styles.Traditional.Photo_Editor.Frames,Couple Photo Suit Editor - Dre,Crazy Softech,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.Couple.Photo.Suit.Styles.Traditional.Photo_Editor.Frames,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html,1
49,kr.jungrammer.strangertalk,Stranger Talk (Random Chat),Gaga&Talk,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=kr.jungrammer.strangertalk,https://strangerchat.io/policy/privacy-en-gaga-talk.html,1
50,com.gomin.photo.cut.paste.background.editor,"Cut Edit: BG Remover,BG Eraser",WECHOICE MOBILE,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.gomin.photo.cut.paste.background.editor,https://sites.google.com/view/policy-cut-and-paste,1
51,com.mindhunter.tryst,Tryst - Match and Connect,georgethedeveloper,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mindhunter.tryst,https://trystdate.me/privacy,1
52,best.edtphoto.policesuit_photoeditor,Police Suit Photo Editor,photo editing apps studio,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=best.edtphoto.policesuit_photoeditor,https://bestphotoeditingappspolicy.blogspot.com/2017/09/best-photo-editing-apps-privacy-policy.html,1
53,com.ftapps.fotos3x4,Photos for ID,FT Apps,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ftapps.fotos3x4,https://fotos3x4.ftapps.com/privacy_policy.html,1
54,com.davis.justdating,JD - JustDating,Christopher Davis,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.davis.justdating,http://www.justdatingapp.com/rules_protect.php,1
55,com.urdu.textonphotos.shairi.appsogen,Write Urdu On Photos - Shairi,Generic Apps,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.urdu.textonphotos.shairi.appsogen,https://docs.google.com/document/d/18QNMTrEsL2LbRQ6CRR0zs2qpzi5fj1koRS9DS8BrOls/pub,1
56,com.gallery.photoviwer,Gallery,RajAppStudio,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.gallery.photoviwer,https://rajappstudio.blogspot.com/2021/07/pixture-best-photo-gallery-album-app.html,1
57,ru.mylove.dating,Знакомства.ру,Waytohey Dating Services,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=ru.mylove.dating,https://znakomstva.ru/agreement/privacy/,1
58,com.appbites.menmotophotosuit,Men Moto Photo Suit,App Bites,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.appbites.menmotophotosuit,https://kirakapps.com/privacy_policy.html,1
59,com.aimdate.russianflirting,RussianFlirting Russian Dating,AimDate LLC,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.aimdate.russianflirting,https://russianflirting.com/page/privacy-policy,1
60,com.livetalk.randomvideochat,Hum Chat - Random Call & Chat,AppSoNix,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.livetalk.randomvideochat,https://sites.google.com/view/appsonixprivacypolicy/home,1
61,com.aiTeam.MagicLightEffect,Photo Editor : Photo Effects,Devabits Inc,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.aiTeam.MagicLightEffect,https://sites.google.com/view/aiteam/privacy-policy,1
62,com.printeeapp.printee,Printee – Photo printing app,Printee d.o.o.,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.printeeapp.printee,https://printeeapp.com/privacy-policy/,1
63,com.appbites.interiorphotoframes,Interior Photo Frames,App Bites,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.appbites.interiorphotoframes,https://kirakapps.com/privacy_policy.html,1
64,com.pixelsdev.storymaker,Story Maker - Insta Story Art,Pixels Dev Studio,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.pixelsdev.storymaker,https://pixelsdevphotoapps.blogspot.com/p/privacy-policy.html,1
65,com.fa.typegraphi,عکس نوشته ساز (فارسی)‎,WebJow,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.fa.typegraphi,https://topjow.org/privacy.php?id=com.fa.typegraphi,1
66,datee.mobi,USA Dating,ApoLeaf,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=datee.mobi,http://datee.mobi/privacy_policy.html,1
67,com.Christmas.Photo_Frames.Background.Editor,Garden Photo Frames,Crazy Softech,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.Christmas.Photo_Frames.Background.Editor,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html,1
68,mnara.dittoed,dittoed,Mnara Solutions Inc.,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=mnara.dittoed,https://dittoed.pages.dev/privacy-policy,1
69,com.Flower.Photo.frames.HD_Photoframes.app,Love Flower Photo Frames,Crazy Softech,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.Flower.Photo.frames.HD_Photoframes.app,http://onex-28c2.kxcdn.com/moreapps/CrazySoftech-Privacy-Policy.html,1
70,com.atsdev.framephotocollage,Frame Photo Collage,AT Software Developers,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.atsdev.framephotocollage,https://atsoftdeveloper.wordpress.com/,1
71,com.camjoy.live.app,CamJoy : Live video chatting,Innovation app,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.camjoy.live.app,https://sites.google.com/view/camjoyapp/home,1
72,com.foreverbilisim.sevgilibul,Find Lover,ayesoft,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.foreverbilisim.sevgilibul,https://www.ayesoft.net/apps-privacy-policy.html,1
